text,label
cantet perfectly capture the hotel lobby two lane highway and roadside cafe that permeate vincent s day,1
m fulford wierzbicki is almost spooky in her sulky calculating lolita turn,1
though it is by no mean his best work laissez passer is a distinguished and distinctive effort by a bona fide master a fascinating film replete with reward to be had by all willing to make the effort to reap them,1
like most bond outing in recent year some of the stunt are so outlandish that they border on being cartoonlike a heavy reliance on cgi technology is beginning to creep into the series,1
newton draw our attention like a magnet and act circle around her better known co star mark wahlberg,1
the story loses it bite in a last minute happy ending that s even le plausible than the rest of the picture much of the way though this is a refreshingly novel ride,1
fuller would surely have called this gutsy and at time exhilarating movie a great yarn,1
compleja e intelectualmente retadora el ladron de orquideas e uno de esos filmes que vale la pena ver precisamente por su originalidad,1
the film make a strong case for the importance of the musician in creating the motown sound,1
karmen move like rhythm itself her lip chanting to the beat her long braided hair doing little to wipe away the jeweled bead of sweat,1
gosling provides an amazing performance that dwarf everything else in the film,1
a real movie about real people that give u a rare glimpse into a culture most of u don t know,1
tender yet lacerating and darkly funny fable,1
may be spoofing an easy target those old s giant creature feature but it acknowledges and celebrates their cheesiness a the reason why people get a kick out of watching them today,1
an engaging overview of johnson s eccentric career,1
in it ragged cheap and unassuming way the movie work,1
some actor have so much charisma that you d be happy to listen to them reading the phone book hugh grant and sandra bullock are two such likeable actor,1
sandra nettelbeck beautifully orchestrates the transformation of the chilly neurotic and self absorbed martha a her heart begin to open,1
behind the snow game and lovable siberian husky plus one sheep dog the picture host a parka wrapped dose of heart,1
everytime you think undercover brother ha run out of steam it find a new way to surprise and amuse,1
manages to be original even though it rip off many of it idea,1
singer composer bryan adam contributes a slew of song a few potential hit a few more simply intrusive to the story but the whole package certainly capture the intended er spirit of the piece,1
you d think by now america would have had enough of plucky british eccentric with heart of gold yet the act is still charming here,1
whether or not you re enlightened by any of derrida s lecture on the other and the self derrida is an undeniably fascinating and playful fellow,1
a pleasant enough movie held together by skilled ensemble actor,1
this is the best american movie about troubled teen since s whatever,1
disney ha always been hit or miss when bringing beloved kid book to the screen tuck everlasting is a little of both,1
just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing,1
the animated subplot keenly depicts the inner struggle of our adolescent hero insecure uncontrolled and intense,1
the invincible werner herzog is alive and well and living in la,1
morton is a great actress portraying a complex character but morvern callar grows le compelling the farther it meander from it shocking start,1
part of the charm of satin rouge is that it avoids the obvious with humour and lightness,1
son of the bride may be a good half hour too long but come replete with a flattering sense of mystery and quietness,1
a simmering psychological drama in which the burst of sudden violence are all the more startling for the slow buildup that ha preceded them,1
a taut intelligent psychological drama,1
a compelling coming of age drama about the arduous journey of a sensitive young girl through a series of foster home and a fierce struggle to pull free from her dangerous and domineering mother s hold over her,1
a truly moving experience and a perfect example of how art when done right can help heal clarify and comfort,1
this delicately observed story deeply felt and masterfully stylized is a triumph for it maverick director,1
at heart the movie is a deftly wrought suspense yarn whose richer shading work a coloring rather than substance,1
the appearance of treebeard and gollum s expanded role will either have you loving what you re seeing or rolling your eye i loved it gollum s performance is incredible,1
a screenplay more ingeniously constructed than memento,1
if this movie were a book it would be a page turner you can t wait to see what happens next,1
haneke challenge u to confront the reality of sexual aberration,1
absorbing and disturbing perhaps more disturbing than originally intended but a little clarity would have gone a long way,1
it s the best film of the year so far the benchmark against which all other best picture contender should be measured,1
painful to watch but viewer willing to take a chance will be rewarded with two of the year s most accomplished and riveting film performance,1
this is a startling film that give you a fascinating albeit depressing view of iranian rural life close to the iraqi border,1
an imaginative comedy thriller,1
a few artsy flourish aside narc is a gritty a a movie get these day,1
while the isle is both preposterous and thoroughly misogynistic it vista are incredibly beautiful to look at,1
together tok and o orchestrate a buoyant darkly funny dance of death in the process they demonstrate that there s still a lot of life in hong kong cinema,1
director kapur is a filmmaker with a real flair for epic landscape and adventure and this is a better film than his earlier english language movie the overpraised elizabeth,1
the movie is a blast of educational energy a bouncy animation and catchy song escort you through the entire minute,1
a sport movie with action that s exciting on the field and a story you care about off it,1
doug liman the director of bourne directs the traffic well get a nice wintry look from his location absorbs u with the movie s spycraft and us damon s ability to be focused and sincere,1
the tenderness of the piece is still intact,1
katz us archival footage horrifying document of lynching still photograph and charming old reel to reel recording of meeropol entertaining his child to create his song history but most powerful of all is the song itself,1
like the film s almost anthropologically detailed realization of early s suburbia it s significant without being overstated,1
while mcfarlane s animation lift the film firmly above the level of other coming of age film it s also so jarring that it s hard to get back into the boy story,1
if nothing else this movie introduces a promising unusual kind of psychological horror,1
in a normal screen process these bromide would be barely enough to sustain an interstitial program on the discovery channel but in imax d the cliche disappear into the vertiginous perspective opened up by the photography,1
writer director burger imaginatively fan the ember of a dormant national grief and curiosity that ha calcified into chronic cynicism and fear,1
a roller coaster ride of a movie,1
i enjoyed time of favor while i wa watching it but i wa surprised at how quickly it faded from my memory,1
chicago is sophisticated brash sardonic completely joyful in it execution,1
steve irwin s method is ernest hemmingway at accelerated speed and volume,1
a refreshing korean film about five female high school friend who face an uphill battle when they try to take their relationship into deeper water,1
on the surface it s a lover on the run crime flick but it ha a lot in common with piesiewicz s and kieslowski s earlier work film like the double life of veronique,1
the value that have held the enterprise crew together through previous adventure and peril do so again courage self sacrifice and patience under pressure,1
if it s possible for a sequel to outshine the original then sl doe just that,1
a romantic comedy that operates by the rule of it own self contained universe,1
friend couple mile and all the pabst blue ribbon beer they can drink it s the ultimate redneck road trip,1
the film is often filled with a sense of pure wonderment and excitement not often seen in today s cinema du sarcasm,1
it might be tempting to regard mr andrew and his collaborator a oddball but mr earnhart s quizzical charming movie allows u to see them finally a artist,1
a feel good picture in the best sense of the term,1
edited and shot with a syncopated style mimicking the work of his subject pray turn the idea of the documentary on it head making it rousing invigorating fun lacking any mtv puffery,1
a mostly intelligent engrossing and psychologically resonant suspenser,1
it s this memory a identity obviation that give secret life it intermittent unease reaffirming that long held illusion are indeed reality and that erasing them recasts the self,1
hip hop ha a history and it s a metaphor for this love story,1
in scope ambition and accomplishment child of the century take kurys career to a whole new level,1
this may not have the dramatic gut wrenching impact of other holocaust film but it s a compelling story mainly because of the way it s told by the people who were there,1
between the drama of cube s personal revelation regarding what the shop mean in the big picture iconic character gambol fluidly through the story with charming result,1
a gentle compassionate drama about grief and healing,1
somewhere short of tremor on the modern b scene neither a funny nor a clever though an agreeably unpretentious way to spend ninety minute,1
digital video documentary about stand up comedian is a great glimpse into a very different world,1
unlike most teen flick swimming take it time to tell it story cast mostly little known performer in key role and introduces some intriguing ambiguity,1
an enthralling playful film that constantly frustrates our desire to know the truth about this man while deconstructing the very format of the biography in a manner that derrida would doubtless give his blessing to,1
extreme ops exceeds expectation good fun good action good acting good dialogue good pace good cinematography,1
you should pay nine buck for this because you can hear about suffering afghan refugee on the news and still be unaffected drama like this make it human,1
a thunderous ride at first quiet cadence of pure finesse are few and far between their shortage dilutes the potency of otherwise respectable action still this flick is fun and host to some truly excellent sequence,1
it s obviously struck a responsive chord with many south korean and should work it magic in other part of the world,1
run don t walk to see this barbed and bracing comedy on the big screen,1
a classy item by a legend who may have nothing left to prove but still ha the chop and drive to show how it done,1
it is nature against progress in fessenden s horror trilogy this theme ha proved important to him and is especially so in the finale,1
it s not exactly a gourmet meal but the fare is fair even coming from the drive thru,1
this is what imax wa made for strap on a pair of d goggles shut out the real world and take a vicarious voyage to the last frontier space,1
merely a a technical logistical feat russian ark mark a cinematic milestone,1
schweiger is talented and terribly charismatic quality essential to both movie star and social anarchist,1
it s a great deal of sizzle and very little steak but what spectacular sizzle it is in this incarnation it fizz is infectious,1
an original gem about an obsession with time,1
it will delight newcomer to the story and those who know it from bygone day,1
gloriously goofy and gory midnight movie stuff,1
the film overcomes the regular minefield of coming of age cliche with potent dos of honesty and sensitivity,1
if your sens haven t been dulled by slasher film and gorefests if you re a connoisseur of psychological horror this is your ticket,1
it s a minor comedy that try to balance sweetness with coarseness while it paint a sad picture of the single scene,1
it is intensely personal and yet unlike quill deftly show u the temper of the time,1
a lo fi a the special effect are the folk who cobbled nemesis together indulge the force of humanity over hardware in a way that george lucas ha long forgotten,1
like mike doesn t win any point for originality it doe succeed by following a feel good formula with a winning style and by offering it target audience of urban kid some welcome role model and optimism,1
it s a hoot and a half and a great way for the american people to see what a candidate is like when he s not giving the same cent stump speech,1
far from perfect but it heart is in the right place innocent and well meaning,1
a sad superior human comedy played out on the back road of life,1
waydowntown is by no mean a perfect film but it boast a huge charm factor and smack of originality,1
tim allen is great in his role but never hog the scene from his fellow cast a there are plenty of laugh and good line for everyone in this comedy,1
more a load of enjoyable conan esque claptrap than the punishing special effect soul assault the mummy picture represent,1
enormously likable partly because it is aware of it own grasp of the absurd,1
here s a british flick gleefully unconcerned with plausibility yet just a determined to entertain you,1
it s an old story but a lively script sharp acting and partially animated interlude make just a kiss seem minty fresh,1
must be seen to be believed,1
ray liotta and jason patric do some of their best work in their underwritten role but don t be fooled nobody deserves any prize here,1
everything that ha to do with yvan and charlotte and everything that ha to do with yvan s rambunctious jewish sister and her non jew husband feel funny and true,1
sweet home alabama is what it is a nice harmless date film,1
the year s happiest surprise a movie that deal with a real subject in an always surprising way,1
fan of behan s work and of irish movie in general will be rewarded by borstal boy,1
it mystery are transparently obvious and it s too slowly paced to be a thriller but it s worth recommending because of two marvelous performance by michael caine and brendan fraser,1
the film is faithful to what one presumes are the book s twin premise that we become who we are on the back of our parent but we have no idea who they were at our age and that time is a fleeting and precious commodity no matter how old you are,1
stephen earnhart s homespun documentary mule skinner blue ha nothing but love for it posse of trailer park denizen,1
a solidly seaworthy chiller,1
if you can get past the fantastical aspect and harsh reality of the isle you ll get a sock you in the eye flick that is a visual tour de force and a story that is unlike any you will likely see anywhere else,1
there are a many miss a hit but ultimately it find humor in the foible of human behavior and it s a welcome return to the root of a genre that should depend on surprise,1
a well made thriller with a certain level of intelligence and non reactionary morality,1
there s enough science to make it count a educational and enough beauty to make it unforgettable,1
remains a solid if somewhat heavy handed account of the near disaster done up by howard with a steady if not very imaginative hand,1
makmalbaf follows a resolutely realistic path in this uncompromising insight into the harsh existence of the kurdish refugee of iran s borderland,1
for a good chunk of it running time trapped is an effective and claustrophobic thriller,1
most of crush is a clever and captivating romantic comedy with a welcome pinch of tartness,1
nair doe capture the complexity of a big family and it trial and tribulation,1
the seaside splendor and shallow beautiful people are nice to look at while you wait for the story to get going,1
rare is the urban comedy that even attempt the insight and honesty of this disarming indie,1
rank among willams best screen work,1
engagingly capture the maddening and magnetic ebb and flow of friendship,1
an experience so engrossing it is like being buried in a new environment,1
it s traditional moviemaking all the way but it s done with a lot of careful period attention a well a some very welcome wit,1
thoroughly enjoyable,1
maybe it s just because this past year ha seen the release of some of the worst film comedy in decade but honestly analyze that really isn t all that bad,1
a droll well acted character driven comedy with unexpected deposit of feeling,1
this is simply the most fun you ll ever have with a documentary,1
a very funny movie,1
watching haneke s film is aptly enough a challenge and a punishment but watching huppert a great actress tearing into a landmark role is riveting,1
a cop story that understands the medium amazingly well,1
one of the best most understated performance of jack nicholson s career,1
britney ha been delivered to the big screen safe and sound the way we like our year old superstar girl to travel on the fame freeway,1
those outside show business will enjoy a close look at people they don t really want to know,1
the kind of nervous film that will either give you a mild headache or exhilarate you,1
watching beanie and his gang put together his slasher video from spare part and borrowed material is a much fun a it must have been for them to make it,1
child may not understand everything that happens i m not sure even miyazaki himself doe but they will almost certainly be fascinated and undoubtedly delighted,1
a fascinating and fun film,1
tadpole is a sophisticated funny and good natured treat slight but a pleasure,1
this insightful oscar nominated documentary in which child on both side of the ever escalating conflict have their say away from watchful parental eye give peace yet another chance,1
i admired this work a lot,1
whether you re moved and love it or bored or frustrated by the film you ll still feel something,1
there are enough moment of heartbreaking honesty to keep one glued to the screen,1
my goodness queen latifah ha a lot to offer and she seemed to have no problem flaunting her natural gift she must have a very strong back,1
a smart sweet and playful romantic comedy,1
australian actor director john polson and award winning english cinematographer giles nuttgens make a terrific effort at disguising the obvious with energy and innovation,1
without heavy handedness dong provides perspective with his intelligent grasp of human foible and contradiction,1
solid lump in the throat family entertainment that derives it power by sticking to the fact,1
a an entertainment the movie keep you diverted and best of all it lightens your wallet without leaving a sting,1
it is interesting and fun to see goodall and her chimpanzee on the bigger than life screen,1
it won t bust your gut and it s not intended to it s merely a blandly cinematic surgical examination of what make a joke a joke,1
a somewhat crudely constructed but gripping questing look at a person so racked with self loathing he becomes an enemy to his own race,1
it extends the writing of jean genet and john rechy the film of fassbinder perhaps even the nocturnal work of goya,1
narc may not get an a for originality but it wear it b movie heritage like a badge of honor,1
with the film s striking ending one realizes that we have a long way to go before we fully understand all the sexual permutation involved,1
drumline is entertaining for what it doe and admirable for what it doesn t do,1
at it best early on a it play the culture clash between the brother,1
a rare beautiful film,1
an unabashedly schmaltzy and thoroughly enjoyable true story,1
a thoughtful look at a painful incident that made headline in,1
you walk out of the good girl with mixed emotion disapproval of justine combined with a tinge of understanding for her action,1
tsai ming liang ha taken his trademark style and refined it to a crystalline point,1
purely propaganda a work of unabashed hero worship it is nonetheless and likely inadvertently a timely and invaluable implicit reminder of the role that u s foreign policy ha played in the rise of castro,1
now trimmed by about minute this lavish three year old production ha enough grandeur and scale to satisfy a grown up escapism,1
we get some truly unique character study and a cross section of americana that hollywood couldn t possibly fictionalize and be believed,1
though this film can be clumsy it ambition are equally and admirably uncommercial,1
daring mesmerizing and exceedingly hard to forget,1
the dangerous life of altar boy take on adolescence feel painfully true,1
moore s performance impress almost a much a her work with haynes in s safe,1
visit spy movie territory like a novel you can t put down examines a footnote to history seldom brought to light on the screen and keep you guessing from first frame to last,1
an absorbing slice of depression life that touch nerve and ring true,1
mr parker ha brilliantly updated his source and grasped it essence composing a sorrowful and hilarious tone poem about alienated labor or an absurdist workplace sitcom,1
the result is something quite fresh and delightful,1
all but the most persnickety preteen should enjoy this nonthreatening but thrilling adventure,1
despite it many infuriating flaw not the least of which is amy s self absorbed personality amy s o s honesty will win you over,1
this is one of polanski s best film,1
day is not a great bond movie but it is a good bond movie which still make it much better than your typical bond knock offs,1
polished korean political action film is just a good and bad a hollywood action epic is this progress,1
elling portrayed with quiet fastidiousness by per christian ellefsen is a truly singular character one whose frailty are only slightly magnified version of the one that vex nearly everyone,1
denis and co writer michele petin s impeccable screenplay penetrates with a rawness that that is both unflinching and tantalizing lead provocatuers testud and parmentier give superlative performance,1
an absorbing trip into the mind and motivation of people under stress a well a a keen unsentimental look at variation on the theme of motherhood,1
i admired it particularly that unexpected downer of an ending,1
the passion aroused by the discord between old and new culture are set against the strange stark beauty of the mideast desert so lovingly and perceptively filmed that you can almost taste the desiccated air,1
remarkably accessible and affecting,1
never mind whether you buy the stuff about barris being a cia hit man the kooky yet shadowy vision clooney sustains throughout is daring inventive and impressive,1
a triumph of art direction over narrative but what art direction,1
behan himself knew how to spin a tale and one can t help but think he d appreciate this attempt to turn his life into art,1
jiri hubac s script is a gem his character are engaging intimate and the dialogue is realistic and greatly moving the scope of the silberstein family is large and we grow attached to their life full of strength warmth and vitality,1
moore s complex and important film is also believe it or not immensely entertaining a david and goliath story that s still very much playing itself out,1
the additional storyline is interesting and entertaining but it doesn t have the same magical quality a the beginning of the story i like the new footage and still love the old stuff,1
though mama take a bit too long to find it rhythm and a third act plot development is somewhat melodramatic it ribald humor and touching nostalgia are sure to please anyone in search of a jules and jim for the new millennium,1
you might not buy the idea but you ll definitely want the t shirt,1
provides an intriguing window into the imagination and hermetic analysis of todd solondz,1
windtalker is shapelessly gratifying the kind of movie that invite you to pick apart it fault even a you have to admit that somehow it hit you where you live,1
present an astute appraisal of middle american musical torpor and the desperate struggle to escape it,1
just what make u happy anyway,1
a thoughtful moving piece that face difficult issue with honesty and beauty,1
one of the greatest romantic comedy of the past decade,1
you wouldn t call the good girl a date movie an anti date movie is more like it but when it s good it s good and horrid,1
benefit from a strong performance from zhao but it s dong jie s face you remember at the end,1
this is a film brimming with detail and nuance and one that speaks volume about the ability of the human spirit to find solace in event that could easily crush it forever,1
the director steven shainberg ha succeeded by focusing intently on his character making them quirky individual rather than figure of fun,1
it ultimately stand forth a an important chronicle of the abuse of one of latin america s most oppressive regime,1
the movie ha a soft percolating magic a deadpan suspense,1
a well made and often lovely depiction of the mystery of friendship,1
using his audience a a figurative port of call dong pull his even handed ideological ship to their dock for unloading before he continues his longer journey still ahead,1
understands that a generation defines it music a much a the music defines a generation,1
the transporter is a lively and a fun a it is unapologetically dumb,1
a a witness to several greek american wedding but happily a victim of none i can testify to the comparative accuracy of m vardalos memory and insight,1
ha it ever been possible to say that williams ha truly inhabited a character it is now,1
by presenting an impossible romance in an impossible world pumpkin dare u to say why either is impossible which force u to confront what s possible and what we might do to make it so,1
an impressive debut for first time writer director mark romanek especially considering his background is in music video,1
an incendiary deeply thought provoking look at one of the most peculiar and peculiarly venomous bigotry in our increasingly frightening theocracy,1
all the performance are top notch and once you get through the accent all or nothing becomes an emotional though still positive wrench of a sit,1
it success are also tempered with element which prove the direct antithesis of what it get right,1
it s solid and affecting and exactly a thought provoking a it should be,1
this is such a dazzlingly self assured directorial debut that it s hard to know what to praise first,1
parker hold true to wilde s own vision of a pure comedy with absolutely no meaning and no desire to be anything but a polished sophisticated entertainment that is in love with it own cleverness,1
munch s genuine insight make the film s occasional overindulgence forgivable,1
thankfully the film which skirt that rapidly deteriorating line between fantasy and reality take a tongue in cheek attitude even a it push the croc hunter agenda,1
ultimately the message of trouble every day seems to be that all sexual desire disrupts life s stasis,1
if you re like me a sucker for a good old fashion romance and someone who shamelessly love to eat then mostly martha offer all the perfect ingredient to more than satisfy your appetite,1
the film ha just enough of everything re enactment archival footage talking head interview and the music is simply sublime,1
there are a few stab at absurdist comedy but mostly the humor is of the sweet gentle and occasionally cloying kind that ha become an iranian specialty,1
a wonderful character based comedy,1
it would be interesting to hear from the other side but in talk to her the woman are down for the count,1
an endearingly offbeat romantic comedy with a great meet cute gimmick,1
the unique tug of war with viewer expectation is undeniable if not a pleasure in it own right,1
it us an old time formula it s not terribly original and it s rather messy but you just have to love the big dumb happy movie my big fat greek wedding,1
it s almost impossible not to be moved by the movie s depiction of sacrifice and it stirring epilogue in post soviet russia,1
who know what exactly godard is on about in this film but his word and image don t have to add up to mesmerize you,1
the tone is balanced reflective and reasonable,1
the principal in this cast are all fine but bishop and stevenson are standouts,1
it could change america not only because it is full of necessary discussion point but because it is so accessible that it make complex politics understandable to viewer looking for nothing but energetic entertainment,1
what s most striking about this largely celebratory film is the sense of isolation that permeates these bastion of individuality in an ikea world,1
if you re in a mind set for goofy comedy the trooper will entertain with their gross out bawdy comedy and head game,1
somewhat blurred but kinnear s performance is razor sharp,1
a a director mr ratliff wisely reject the temptation to make fun of his subject,1
for anyone who remembers the s or is interested in one man s response to stroke ram das fierce grace is worth seeking out,1
intriguing and beautiful film but those of you who read the book are likely to be disappointed,1
the new guy doe have a heart now if it only had a brain,1
a savvy exploration of paranoia and insecurity in america s culture of fear,1
legendary irish writer brendan behan s memoir borstal boy ha been given a loving screen transferral,1
the film s greatest asset is how much it s not just another connect the dot spy on the run picture,1
this clever caper movie ha twist worthy of david mamet and is enormous fun for thinking audience,1
it s one of the saddest film i have ever seen that still manages to be uplifting but not overly sentimental,1
morton is a usual brilliant,1
even with all those rough edge safely sanded down the american insomnia is still pretty darned good,1
i don t know precisely what to make of steven soderbergh s full frontal though that didn t stop me from enjoying much of it,1
the tug of war that ensues is a much a snapshot of modern china in microcosm a it is a crash course in movie mythology,1
nearly surreal dabbling in french this is no simple movie and you ll be taking a risk if you choose to see it i enjoyed the ride bump and all creamy depth and ultimate theme,1
you could say that it s slow at time you could say that a few of the character act in way that real people wouldn t but one thing you couldn t say is that alias betty is predictable,1
asia author herself a anna battista an italian superstar and aspiring directress who just happens to be her own worst enemy,1
roman coppola may never become the filmmaker his dad wa but heck few filmmaker will but based on cq i ll certainly be keeping an eye out for his next project,1
an amusing breezily apolitical documentary about life on the campaign trail,1
high on melodrama but it s emotionally engrossing too thanks to strong credible performance from the whole cast,1
finally a genre movie that delivers in a couple of genre no le,1
it s not so much enjoyable to watch a it is enlightening to listen to new side of a previous reality and to visit with some of the people who were able to make an impact in the theater world,1
spielberg is the rare director who doe not want to invite viewer to gawk at or applaud his special effect he just want them to be part of the action the wallpaper of his chosen reality here thankfully they are,1
post the philosophical message of personal freedom first might not be a palatable a intended,1
hu and liu offer natural matter of fact performance that glint with sorrow longing and love,1
this bold and lyrical first feature from raja amari expands the pat notion that middle aged woman just wanna have fun into a rousing treatise of sensual empowerment,1
easier to respect than enthuse over andersson s rigorous personal vision is not only distanced but distancing,1
girl gone wild and gone civil again,1
tunney is allowed to build an uncommonly human character an almost real live girl complete with trouble and hope,1
while this film is not in the least surprising it is still ultimately very satisfying think of it a a sort of comfort food for the mind,1
clever brutal and strangely soulful movie,1
always remains movingly genuine,1
an intelligent fiction about learning through cultural clash,1
will grab your child by the imagination and amaze them and amuse them,1
a remarkable minute meditation on the nature of revolution,1
those who would follow haneke on his creepy exploration are rewarded by brutal committed performance from huppert and magimel,1
an involving true story of a chinese actor who take up drug and wind up in an institution acted mostly by the actual people involved,1
hand down the year s most thought provoking film but it pay a price for it intricate intellectual gamesmanship,1
it s a terrific american sport movie and dennis quaid is it athletic heart,1
this is such a high energy movie where the drumming and the marching are so excellent who care if the story s a little weak,1
compelling revenge thriller though somewhat weakened by a miscast leading lady,1
it s amazingly perceptive in it subtle supportive but unsentimental look at the mark family,1
a whole lot foul freaky and funny,1
family fare,1
attal mix comedy with a serious exploration of ego and jealousy within a seemingly serene marriage,1
the diversity of the artist represented both in term of style and ethnicity prevents the proceeding from feeling repetitious a doe the appropriately brief minute running time,1
the pianist is a fine valedictory work for polanski made richer by his own experience making his other movie somehow richer in the bargain,1
foster nail the role giving a tight focused performance illuminated by shard of feeling,1
even if you can t pronounce gyro correctly you ll appreciate much of vardalos humor which transcends ethnic boundary,1
is office work really a alienating a bartleby so effectively make it,1
farrell thankfully manages to outshine the role and successfully play the foil to willis s world weary colonel,1
audience conditioned to getting weepy over saucer eyed downy cheeked moppet and their empathetic caretaker will probably feel emotionally cheated by the film s tart sugar free wit,1
bennett s dramatization of her personal descent into post breakup perdition ha a morbid appeal that s tough to shake,1
an intriguing and entertaining introduction to johnson,1
a expected sayles smart wordplay and clever plot contrivance are a sharp a ever though they may be overshadowed by some strong performance,1
a model of what film like this should be like,1
a weber and weissman demonstrate with such insight and celebratory verve the cockettes weren t a much about gender sexual preference or political agitprop a they were simply a triumph of the indomitable human will to rebel connect and create,1
yeah these flick are just that damn good isn t it great,1
an unbelievably fun film just a leading man away from perfection,1
over the top and a bit ostentatious this is a movie that s got oodles of style and substance,1
a poignant and powerful narrative that reveals that reading writing and arithmetic are not the only subject to learn in life,1
nicely serf a an examination of a society in transition,1
boisterous heartfelt comedy,1
a tender and touching drama based on the true story of a troubled african american s quest to come to term with his origin reveals the yearning we all have in our heart for acceptance within the family circle,1
a a randy film about sexy people in gorgeous place being pushed and pulled literally and figuratively by desire sex and lucia make for an arousing good time,1
absorbing character study by andre turpin,1
celebrated at sundance this slight comedy of manner ha winning performance and a glossy glib charm that s hard to beat,1
renner s performance a dahmer is unforgettable deeply absorbing,1
if no one single out any of these performance a award worthy it s only because we would expect nothing le from this bunch,1
if you love reading and or poetry then by all mean check it out you ll probably love it,1
though of particular interest to student and enthusiast of international dance and world music the film is designed to make viewer of all age cultural background and rhythmic ability want to get up and dance,1
energetic and boldly provocative,1
star war is back in a major way,1
it s a movie and an album you won t want to miss,1
it s rare to find a film that dazzle the eye challenge the brain and satisfies our lust for fast paced action but minority report delivers all that and a whole lot more,1
while not all transition to adulthood are so fraught there s much truth and no small amount of poetry in girl can t swim,1
if there s nothing fresh about wannabe which wa written by mr demeo who produced and directed the film with charles a addessi much of the time the movie feel authentic,1
jacquot s tosca is a treat,1
by the end of no such thing the audience like beatrice ha a watchful affection for the monster,1
if you liked such movie a notting hill four wedding and a funeral bridget jones diary or high fidelity then you won t want to miss about a boy,1
the gentle melding of drama and comedy make what time is it there something the true film buff will enjoy,1
romanek keep the film constantly taut reflecting the character s instability with a metaphorical visual style and an unnerving heartbeat like score,1
i whole heartedly recommend that everyone see this movie for it historical significance alone,1
hey who else need a shower,1
longley ha constructed a remarkably coherent horrifically vivid snapshot of those turbulent day,1
although it bang a very cliched drum at time this crowd pleaser s fresh dialogue energetic music and good natured spunk are often infectious,1
often gruelling and heartbreaking to witness but seldahl and wollter s sterling performance raise this far above the level of the usual maudlin disease movie,1
go see it and enjoy,1
the stunning dreamlike visuals will impress even those viewer who have little patience for euro film pretension,1
george clooney prof he s quite a talented director and sam rockwell show u he s a world class actor with confession of a dangerous mind,1
there s a vastness implied in metropolis that is just breathtaking,1
murderous maid may well be the most comprehensive of these film and also strike closest to the truth,1
the people in dogtown and z boy are so funny aggressive and alive you have to watch them because you can t wait to see what they do next,1
a green gut monster movie go it s a beaut,1
a bundy michael reilly burke octopus river of fear ha just the right amount of charisma and menace,1
a deceivingly simple film one that grows in power in retrospect,1
ana is a vivid vibrant individual and the movie s focus upon her make it successful and accessible,1
a slick skillful little horror film,1
a very witty take on change risk and romance and the film us humour to make it point about acceptance and growth,1
anderson us a hit or miss aesthetic that hit often enough to keep the film entertaining even if none of it make a lick of sense,1
bubba ho tep is a wonderful film with a bravura lead performance by bruce campbell that doesn t deserve to leave the building until everyone is aware of it,1
despite the long running time the pace never feel slack there s no scene that scream bathroom break,1
bullock doe a good job here of working against her natural likability,1
a film of precious increment artfully camouflaged a everyday activity,1
kinnear give a tremendous performance,1
